,Brentford,Sheffield United,West Ham United,Oxford United,Queens Park Rangers,Blackpool,Accrington,Arsenal,Fulham,Wolverhampton Wanderers,Grimsby Town,Chelsea,Oldham Athletic,Barnsley,Reading,Carlisle United,Millwall,Swansea City,Aston Villa,Birmingham City,Derby County,Bury,Bolton Wanderers,Bristol City,Coventry City,Southampton,Glossop,Norwich City,Tottenham Hotspur,Manchester City,Wigan Athletic,AFC Bournemouth,Everton,Leeds United,Liverpool,Watford,Stoke City,Sheffield Wednesday,Manchester United,Blackburn Rovers,Leicester City,Ipswich Town,Leyton Orient,Crystal Palace,Nottingham Forest,Darwen,Northampton Town,Cardiff City,Charlton Athletic,Notts County,Newcastle United,Sunderland,Wimbledon,Bradford City,Huddersfield Town,Burnley,Middlesbrough,Portsmouth,Luton Town,Stoke,Brighton & Hove Albion,Preston North End,Swindon Town,Hull City,West Bromwich Albion,Bradford Park Avenue
1888,0,0,0,0,0,0,20,0,0,28,0,0,0,0,0,0,0,0,29,0,16,0,22,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,17,0,0,0,12,0,40,0,0,22,0
1889,0,0,0,0,0,0,44,0,0,53,0,0,0,0,0,0,0,0,48,0,37,0,41,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,30,0,0,0,22,0,73,0,0,47,0
1890,0,0,0,0,0,0,60,0,0,79,0,0,0,0,0,0,0,0,66,0,52,0,66,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,55,0,23,0,0,0,51,0,0,0,22,0,100,0,0,59,0
1891,0,0,0,0,0,0,80,0,0,105,0,0,0,0,0,0,0,0,96,0,76,0,102,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,103,0,0,0,0,0,11,0,0,0,81,0,65,0,0,0,77,0,0,0,36,0,137,0,0,77,0
1892,0,0,0,0,0,0,103,0,0,133,0,0,0,0,0,0,0,0,131,0,103,0,134,0,0,0,0,0,0,0,0,0,144,0,0,0,0,27,18,132,0,0,0,0,28,11,0,0,0,105,0,113,0,0,0,107,0,0,0,65,0,174,0,0,106,0
1893,0,31,0,0,0,0,103,0,0,164,0,0,0,0,0,0,0,0,175,0,139,0,158,0,0,0,0,0,0,0,0,0,177,0,0,0,0,53,32,166,0,0,0,0,60,30,0,0,0,105,0,151,0,0,0,141,0,0,0,94,0,197,0,0,138,0
1894,0,63,0,0,0,0,103,0,0,189,0,0,0,0,0,0,0,0,214,25,162,0,183,0,0,0,0,0,0,0,0,0,219,0,22,0,0,81,32,198,0,0,0,0,91,30,0,0,0,105,0,198,0,0,0,167,0,0,0,118,0,232,0,0,162,0
1895,0,89,0,0,0,0,103,0,0,210,0,0,0,0,0,0,0,0,259,45,203,27,220,0,0,0,0,0,0,0,0,0,258,0,22,0,0,110,32,227,0,0,0,0,116,30,0,0,0,105,0,235,0,0,0,194,0,0,0,148,0,260,0,0,181,0
1896,0,125,0,0,0,0,103,0,0,238,0,0,0,0,0,0,0,0,306,45,239,57,250,0,0,0,0,0,0,0,0,0,289,0,55,0,0,141,32,252,0,0,0,0,142,30,0,0,0,105,0,258,0,0,0,213,0,0,0,173,0,294,0,0,207,0
1897,0,167,0,0,0,0,103,0,0,273,0,0,0,0,0,0,0,0,339,45,267,81,276,0,0,0,0,0,0,0,0,0,324,0,83,0,0,174,32,276,0,0,0,0,173,30,0,0,0,129,0,295,0,0,0,213,0,0,0,197,0,318,0,0,239,0
